[ 2023-04-19 수요일 10:56:08 597 ] CameraControl -> Stop 
[ 2023-04-19 수요일 10:56:09 982 ] CameraControl -> Close 
[ 2023-04-19 수요일 10:56:10 025 ] CameraControl -> Stop 
[ 2023-04-19 수요일 10:56:11 543 ] CameraControl -> Close 
[ 2023-04-19 수요일 10:56:11 616 ] CameraControl -> Stop 
[ 2023-04-19 수요일 10:56:11 929 ] CameraControl -> Close 
[ 2023-04-19 수요일 10:56:11 942 ] VideoCheck_Page -> VideoClose 
[ 2023-04-19 수요일 10:56:11 952 ] VideoAnalysis_Page -> VideoClose 
[ 2023-04-19 수요일 10:56:18 443 ] 프로그램 시작
[ 2023-04-19 수요일 10:56:20 733 ] Form1 -> Form1_Shown 
[ 2023-04-19 수요일 10:56:21 161 ] RealTimeView_Page -> PanelSettings 
[ 2023-04-19 수요일 10:56:21 439 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ 2023-04-19 수요일 10:56:21 440 ] RealTimeView_Page -> VideoSetLoad 
[ 2023-04-19 수요일 10:56:21 441 ] RealTimeView_Page -> cb_TextView_SelectedValueChanged 
[ 2023-04-19 수요일 10:56:21 442 ] Settings_Page -> XMLSave 
[ 2023-04-19 수요일 10:56:21 443 ] CameraControl -> CameraOpen 
[ 2023-04-19 수요일 10:56:21 670 ] CameraControl -> open 
[ 2023-04-19 수요일 10:56:21 696 ] RealTimeView_Page -> CreateBitmap 
[ 2023-04-19 수요일 10:56:21 708 ] CameraControl -> SetEnableImageCallback 
[ 2023-04-19 수요일 10:56:21 717 ] CameraControl -> Start 
[ 2023-04-19 수요일 10:56:21 763 ] CameraControl -> CameraOpen 
[ 2023-04-19 수요일 10:56:22 039 ] CameraControl -> open 
[ 2023-04-19 수요일 10:56:22 049 ] RealTimeView_Page -> CreateBitmap 
[ 2023-04-19 수요일 10:56:22 058 ] CameraControl -> SetEnableImageCallback 
[ 2023-04-19 수요일 10:56:22 061 ] CameraControl -> Start 
[ 2023-04-19 수요일 10:56:22 104 ] CameraControl -> CameraOpen 
[ 2023-04-19 수요일 10:56:22 421 ] CameraControl -> open 
[ 2023-04-19 수요일 10:56:22 435 ] RealTimeView_Page -> CreateBitmap 
[ 2023-04-19 수요일 10:56:22 443 ] CameraControl -> SetEnableImageCallback 
[ 2023-04-19 수요일 10:56:22 445 ] CameraControl -> Start 
[ 2023-04-19 수요일 10:56:22 510 ] Settings_Page -> XMLSave 
[ 2023-04-19 수요일 10:56:22 553 ] VideoCheck_Page -> PanelSettings 
[ 2023-04-19 수요일 10:56:22 619 ] VideoAnalysis_Page -> PanelSettings 
[ 2023-04-19 수요일 10:57:12 901 ] RealTimeView_Page -> RealTimeView_ButtonActions 
[ 2023-04-19 수요일 10:57:21 443 ] RealTimeView_Page -> UserTextChange 
[ 2023-04-19 수요일 10:57:21 444 ] Settings_Page -> XMLSave 
[ 2023-04-19 수요일 10:57:21 514 ] RealTimeView_Page -> RealTimeView_ButtonActions 
[ 2023-04-19 수요일 10:57:23 754 ] RealTimeView_Page -> RealTimeView_ButtonActions 
[ 2023-04-19 수요일 10:57:27 452 ] RealTimeView_Page -> RealTimeView_ButtonActions 
[ 2023-04-19 수요일 10:57:29 486 ] RealTimeView_Page -> RealTimeView_ButtonActions 
[ 2023-04-19 수요일 10:57:29 490 ] RealTimeView_Page -> Camera_Info 
[ 2023-04-19 수요일 10:57:47 023 ] RealTimeView_Page -> RealTimeView_ButtonActions 
[ 2023-04-19 수요일 10:57:51 423 ] RealTimeView_Page -> RealTimeView_ButtonActions 
[ 2023-04-19 수요일 10:58:10 354 ] RealTimeView_Page -> RealTimeView_ButtonActions 
[ 2023-04-19 수요일 10:58:10 861 ] RealTimeView_Page -> RealTimeView_ButtonActions 
[ 2023-04-19 수요일 10:58:11 249 ] RealTimeView_Page -> RealTimeView_ButtonActions 
[ 2023-04-19 수요일 10:58:11 647 ] RealTimeView_Page -> RealTimeView_ButtonActions 
[ 2023-04-19 수요일 10:58:12 072 ] RealTimeView_Page -> RealTimeView_ButtonActions 
[ 2023-04-19 수요일 10:58:12 735 ] RealTimeView_Page -> RealTimeView_ButtonActions 
[ 2023-04-19 수요일 10:58:15 251 ] RealTimeView_Page -> UserTextChange 
[ 2023-04-19 수요일 10:58:15 253 ] Settings_Page -> XMLSave 
[ 2023-04-19 수요일 10:58:15 342 ] RealTimeView_Page -> RealTimeView_ButtonActions 
[ 2023-04-19 수요일 10:59:24 195 ] Form1 -> NavigationClick 
[ 2023-04-19 수요일 10:59:32 058 ] Form1 -> NavigationClick 
[ 2023-04-19 수요일 10:59:32 339 ] VideoAnalysis_Page -> VideoAnalysis_Page_Load 
[ 2023-04-19 수요일 10:59:34 443 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 2023-04-19 수요일 10:59:34 446 ] VideoAnalysis_Page -> VideoCheck_FileOpen1 
[ 2023-04-19 수요일 10:59:39 429 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ 2023-04-19 수요일 10:59:39 431 ] VideoAnalysis_Page -> VideoCheck_FileOpen2 
[ 2023-04-19 수요일 10:59:44 594 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 2023-04-19 수요일 10:59:44 595 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 2023-04-19 수요일 10:59:47 422 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 2023-04-19 수요일 10:59:47 423 ] VideoAnalysis_Page -> VideoCheck_FileOpen1 
[ 2023-04-19 수요일 10:59:52 627 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 2023-04-19 수요일 10:59:52 627 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 2023-04-19 수요일 10:59:54 029 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 2023-04-19 수요일 10:59:54 030 ] VideoAnalysis_Page -> VideoCheck_FileOpen1 
[ 2023-04-19 수요일 11:00:08 824 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ 2023-04-19 수요일 11:00:08 826 ] VideoAnalysis_Page -> VideoCheck_Play2 
