[  2023-05-09 화요일 09:29:52 472 ] 파일 생성 성공
[ 커피 2023-05-09 화요일 11:36:39 277 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ 커피 2023-05-09 화요일 11:36:39 278 ] VideoAnalysis_Page -> VideoCheck_FileClose2 
[ 커피 2023-05-09 화요일 11:36:45 987 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-09 화요일 11:36:45 987 ] VideoAnalysis_Page -> VideoCheck_FileOpen1 
[ 커피 2023-05-09 화요일 11:36:55 274 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ 커피 2023-05-09 화요일 11:36:55 274 ] VideoAnalysis_Page -> VideoCheck_FileOpen2 
[ 커피 2023-05-09 화요일 11:37:04 964 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-09 화요일 11:37:04 965 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-09 화요일 11:37:22 825 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ 커피 2023-05-09 화요일 11:37:22 828 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ 커피 2023-05-09 화요일 11:37:39 656 ] VideoAnalysis_Page -> FilterClick 
[ 커피 2023-05-09 화요일 11:37:50 462 ] VideoAnalysis_Page -> FilterClick 
[ 커피 2023-05-09 화요일 11:38:00 885 ] VideoAnalysis_Page -> FilterClick 
[ 커피 2023-05-09 화요일 11:38:11 013 ] VideoAnalysis_Page -> FilterClick 
[ 커피 2023-05-09 화요일 11:38:20 531 ] VideoAnalysis_Page -> FilterClick 
[ 커피 2023-05-09 화요일 11:38:25 257 ] VideoAnalysis_Page -> FilterClick 
[ 커피 2023-05-09 화요일 11:38:45 872 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-09 화요일 11:38:45 873 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-09 화요일 11:38:59 921 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ 커피 2023-05-09 화요일 11:38:59 922 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ 커피 2023-05-09 화요일 11:39:01 283 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-09 화요일 11:39:01 283 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-09 화요일 11:39:08 192 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-09 화요일 11:39:08 194 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-09 화요일 12:48:19 769 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-09 화요일 12:48:19 771 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-09 화요일 12:48:20 787 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ 커피 2023-05-09 화요일 12:48:20 788 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ 커피 2023-05-09 화요일 12:48:30 506 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ 커피 2023-05-09 화요일 12:48:30 528 ] VideoAnalysis_Page -> VideoCheck_Play2 
